id_customer;customer_name;type;location_name;country;open_data_site_url;api_dcat_url;api_data_url;longitude;latitude
81;Montgomery County;County;Baltimore;USA;https://data.montgomerycountymd.gov/;https://data.montgomerycountymd.gov/api/dcat.json;https://data.montgomerycountymd.gov/api/data.json;-76.62253999999996;-76.62253999999996
82;National Fire Protection Associations (NFPA);Federal;Quincy;USA;https://data.nfpa.org/;https://data.nfpa.org/api/dcat.json;https://data.nfpa.org/api/data.json;-71.02710863199962;-71.02710863199962
83;New York City;City;New York City;USA;https://nycopendata.socrata.com/;https://nycopendata.socrata.com/api/dcat.json;https://nycopendata.socrata.com/api/data.json;-74.00711999958816;-74.00711999958816
84;State of New York;State;Albany;USA;https://data.ny.gov/;https://data.ny.gov/api/dcat.json;https://data.ny.gov/api/data.json;-73.75520562899965;-73.75520562899965
85;State of Oklahoma;State/Province;Oklahoma City;USA;http://data.ok.gov/;http://data.ok.gov/api/dcat.json;http://data.ok.gov/api/data.json;-97.52034999975251;-97.52034999975251
86;State of Oregon;State/Province;Salem;USA;https://data.oregon.gov/;https://data.oregon.gov/api/dcat.json;https://data.oregon.gov/api/data.json;-123.04381000003133;-123.04381000003133
87;RDW;not_available;not_available;NL;https://rdw.azure-westeurope-prod.socrata.com/;https://rdw.azure-westeurope-prod.socrata.com/api/dcat.json;https://rdw.azure-westeurope-prod.socrata.com/api/data.json;not_available;not_available
88;Regione Autonoma Friuli Venezia Giulia;StateProvince;Triese;IT;https://www.dati.friuliveneziagiulia.it/;https://www.dati.friuliveneziagiulia.it/api/dcat.json;https://www.dati.friuliveneziagiulia.it/api/data.json;-99.11415045099966;-99.11415045099966
89;State of Connecticut;State;Hartford;USA;https://data.ct.gov/;https://data.ct.gov/api/dcat.json;https://data.ct.gov/api/data.json;-72.71531914199966;-72.71531914199966
90;State of Hawaii;State/Province;Honolulu;USA;https://data.hawaii.gov/;https://data.hawaii.gov/api/dcat.json;https://data.hawaii.gov/api/data.json;-157.85774999956269;-157.85774999956269
91;State of Illinois;State/Province;Springfield;USA;https://data.illinois.gov/;https://data.illinois.gov/api/dcat.json;https://data.illinois.gov/api/data.json;-89.6436000004395;-89.6436000004395
92;State of Maryland;State/Province;Baltimore;USA;https://data.maryland.gov/;https://data.maryland.gov/api/dcat.json;https://data.maryland.gov/api/data.json;-76.6092600004485;-76.6092600004485
93;State of Michigan;State;not_available;USA;https://data.michigan.gov/;https://data.michigan.gov/api/dcat.json;https://data.michigan.gov/api/data.json;not_available;not_available
94;State of Montana;State;Helena;USA;https://data.datamontana.us/;https://data.datamontana.us/api/dcat.json;https://data.datamontana.us/api/data.json;-112.027;-112.027
95;State of New Jersey;State;Trenton;USA;https://data.nj.gov/;https://data.nj.gov/api/dcat.json;https://data.nj.gov/api/data.json;-74.64749984799965;-74.64749984799965
96;State of New Jersey - Department of Health;State;Trenton;USA;https://healthdata.nj.gov/;https://healthdata.nj.gov/api/dcat.json;https://healthdata.nj.gov/api/data.json;-74.64748968999965;-74.64748968999965
97;State of Vermont;State;Montpelier;USA;https://data.vermont.gov/;https://data.vermont.gov/api/dcat.json;https://data.vermont.gov/api/data.json;-72.5667;-72.5667
98;State of Washington;State/Province;Olympia;USA;https://data.wa.gov/;https://data.wa.gov/api/dcat.json;https://data.wa.gov/api/data.json;-122.891359999764;-122.891359999764
99;Taxpayers for Common Sense;NGO;Washington;USA;https://data.taxpayer.net:443/;https://data.taxpayer.net:443/api/dcat.json;https://data.taxpayer.net:443/api/data.json;-77.05616997199968;-77.05616997199968
100;United Nations Development Program;NGO;New York;USA;http://hdr.undp.org/en/countries/;http://hdr.undp.org/en/countries/api/dcat.json;http://hdr.undp.org/en/countries/api/data.json;not_available;not_available
101;United Nations Development Programme;NGO;New York;USA;https://data.undp.org/;https://data.undp.org/api/dcat.json;https://data.undp.org/api/data.json;-74.00711999958816;-74.00711999958816
102;USAID;NGO;Washington;USA;https://www.usaid.gov/results-and-data/progress-data/data/dca/;https://www.usaid.gov/results-and-data/progress-data/data/dca/api/dcat.json;https://www.usaid.gov/results-and-data/progress-data/data/dca/api/data.json;-77.03195999965413;-77.03195999965413
103;White House;Federal;Washington;USA;https://open.whitehouse.gov/;https://open.whitehouse.gov/api/dcat.json;https://open.whitehouse.gov/api/data.json;-77.03737576499964;-77.03737576499964
104;Wokingham Borough Council;State/Providence;Wokingham;UK;https://data.wokingham.gov.uk:443/;https://data.wokingham.gov.uk:443/api/dcat.json;https://data.wokingham.gov.uk:443/api/data.json;-99.11415045099966;-99.11415045099966
105;World Bank;NGO;Washington;USA;https://finances.worldbank.org/;https://finances.worldbank.org/api/dcat.json;https://finances.worldbank.org/api/data.json;-77.03195999965413;-77.03195999965413
106;MetroChicagoData.com;Convergence Cloud;Chicago;USA;https://www.metrochicagodata.org/;https://www.metrochicagodata.org/api/dcat.json;https://www.metrochicagodata.org/api/data.json;-87.63241000012124;-87.63241000012124
